DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
10/23/2012 09:48,2.80,233,3.70,13.2,1019.4,,
10/23/2012 09:54,3.00,233,4.30,13.2,1019.5,,
10/23/2012 10:00,2.90,234,3.70,13.2,1019.5,,
10/23/2012 10:06,3.20,234,3.80,13.4,1019.5,,
10/23/2012 10:12,3.10,234,4.00,13.4,1019.5,,
10/23/2012 10:18,3.30,234,4.20,13.5,1019.5,,
10/23/2012 10:24,3.40,238,4.00,13.6,1019.7,,
10/23/2012 10:30,3.10,232,4.00,13.5,1019.7,,
10/23/2012 10:36,3.40,232,4.50,13.6,1019.8,,
10/23/2012 10:42,3.30,234,4.40,13.5,1019.9,,
10/23/2012 10:48,3.50,231,4.20,13.5,1019.9,,
10/23/2012 10:54,3.60,229,4.50,13.7,1019.9,,
10/23/2012 11:00,3.60,235,4.80,13.5,1019.9,,
10/23/2012 11:06,3.70,233,4.30,13.5,1020.0,,
10/23/2012 11:12,3.50,228,4.50,13.4,1020.0,,
10/23/2012 11:18,3.60,228,4.70,13.4,1020.0,,
10/23/2012 11:24,3.40,232,4.30,13.4,1020.1,,
10/23/2012 11:30,3.30,235,4.00,13.4,1020.1,,
10/23/2012 11:36,3.60,233,4.20,13.5,1020.2,,
10/23/2012 11:42,2.90,237,3.60,13.4,1020.3,,
10/23/2012 11:48,1.40,261,2.20,13.4,1020.3,,
10/23/2012 11:54,2.10,248,2.60,13.5,1020.4,,
10/23/2012 12:00,2.10,240,2.80,13.6,1020.4,,
10/23/2012 12:06,2.30,245,3.40,13.9,1020.5,,
10/23/2012 12:12,2.70,240,3.80,14.2,1020.4,,
10/23/2012 12:18,2.80,245,3.70,14.5,1020.5,,
10/23/2012 12:24,2.40,245,3.00,14.8,1020.4,,
10/23/2012 12:30,2.90,246,4.10,15.2,1020.4,,
10/23/2012 12:36,2.60,240,3.40,15.3,1020.4,,
10/23/2012 12:42,2.70,244,3.90,15.4,1020.5,,
10/23/2012 12:48,3.30,246,3.80,15.4,1020.6,,
10/23/2012 12:54,2.90,254,3.60,15.5,1020.7,,
10/23/2012 13:00,2.10,249,4.00,15.9,1020.7,,
10/23/2012 13:06,2.10,238,3.80,16.1,1020.7,,
10/23/2012 13:12,1.20,251,2.90,16.4,1020.7,,
10/23/2012 13:18,2.40,243,4.50,16.8,1020.8,,
10/23/2012 13:24,2.50,251,3.80,16.8,1020.8,,
10/23/2012 13:30,2.80,246,4.40,17.1,1020.9,,
10/23/2012 13:36,3.00,250,4.10,17.2,1020.9,,
10/23/2012 13:42,2.70,243,4.10,17.4,1020.9,,
10/23/2012 13:48,2.90,243,4.00,17.5,1020.8,,
10/23/2012 13:54,2.10,248,2.80,17.8,1020.9,,
10/23/2012 14:00,3.20,246,4.20,18.0,1020.9,,
10/23/2012 14:06,3.30,244,4.30,18.2,1020.9,,
10/23/2012 14:12,2.70,241,4.00,18.4,1020.9,,
10/23/2012 14:18,2.80,238,3.80,18.7,1020.8,,
10/23/2012 14:24,2.30,245,3.80,18.8,1020.8,,
10/23/2012 14:30,2.30,243,2.90,19.1,1020.7,,
10/23/2012 14:36,2.00,255,3.20,19.3,1020.6,,
10/23/2012 14:42,2.40,254,3.70,19.4,1020.6,,
10/23/2012 14:48,2.80,274,3.50,19.6,1020.5,,
10/23/2012 14:54,2.30,238,2.90,19.9,1020.5,,
10/23/2012 15:00,3.20,252,4.30,20.0,1020.5,,
10/23/2012 15:06,3.10,278,4.50,20.1,1020.4,,
10/23/2012 15:12,3.30,269,4.40,20.3,1020.4,,
10/23/2012 15:18,2.40,258,3.50,20.9,1020.4,,
10/23/2012 15:24,2.70,240,4.30,21.0,1020.4,,
10/23/2012 15:30,2.80,237,4.40,21.3,1020.3,,
10/23/2012 15:36,1.80,248,3.30,21.6,1020.2,,
